x,y,z
0,0,0
-17.34229027,-14.91752852,2.530326169
-17.270116,-14.76350067,2.51317529
-17.45167547,-14.82628205,2.532964985
-17.3239232,-14.62647773,2.507897895
-17.14862926,-14.46566552,1.655006276
-17.21110271,-14.44101378,2.485139888
-17.11038718,-14.34379197,1.647060857
-17.34769393,-14.46516262,2.498442929
-17.36061185,-14.38587112,2.493935386
-17.32256838,-14.26493547,2.482171338
-17.20933433,-14.15909161,1.643970952
-17.44989092,-14.27864559,5.05519716
-17.25010218,-14.11667221,2.465570015
-17.33000877,-15.26195373,2.324055647
-17.07511689,-13.96103739,1.627050147
-17.41254608,-14.15912074,4.165192167
-17.40205952,-14.1521066,2.48107199
-17.37375689,-15.20609302,2.323655105
-17.09774373,-13.89223458,1.625137315
-17.30372157,-13.98265816,4.128879587
-17.26527397,-13.95308484,2.455455344
-17.12011035,-13.82342503,1.623224602
-17.43776657,-14.00276302,4.150593799
-17.32117559,-13.9106306,2.457324545
-17.14921483,-13.76022588,1.621973858
-17.30388549,-13.80814994,4.108624499
-17.37853171,-13.86920434,2.459413331
-17.19057129,-13.7069258,1.621900306
-17.18130271,-13.62426465,4.069574872
-17.32365481,-13.73862185,2.445670645
-17.47505623,-14.92003257,2.312540029
-17.13874344,-13.5797998,1.613072024
-16.97830073,-14.49180897,1.432550217
-17.34854815,-13.67187442,2.443251889
-17.27418076,-14.65713662,2.279995893
-17.09178234,-13.45744019,1.604758726
-17.31998151,-13.56343226,2.43335704
-17.31982736,-14.60471274,2.280096029
-17.12591899,-13.39940964,1.604096637
-17.44874997,-13.57665085,4.103150406
-17.2893465,-13.45407354,2.423242371
-17.36226497,-14.54958991,2.279795622
-17.10711066,-13.30028328,1.598505364
-17.11402114,-14.3374941,1.432806398
-17.30616553,-13.38211879,2.419834176
-17.38847211,-14.48097349,2.277392363
-17.15020262,-13.24956533,1.598726139
-17.09887233,-14.23575575,1.427874948
-17.42391905,-13.38650546,4.926339548
-17.40806238,-14.43012401,4.832989028
-17.34398748,-13.32653948,2.419394295
-17.24885354,-14.27530924,2.253359533
-17.16229176,-13.17502546,1.596077666
-17.14477311,-14.18513906,1.428067113
-17.44939522,-13.32114427,4.921964091
-17.40025479,-13.28362999,4.062823335
-17.30895173,-13.21536181,2.408839744
-17.25491362,-14.19135381,2.248452878
-17.12254599,-13.06121986,1.588647113
-17.09417075,-14.05514897,1.42025366
-17.45830717,-13.24336898,4.912994781
-17.50033808,-13.27669635,3.24492381
-17.28369036,-13.1123351,2.399714511
-17.19334852,-15.13341006,2.090146022
-17.09497976,-12.95742106,1.582393751
-17.11789124,-13.98685295,1.41865256
-17.36327163,-13.08754964,4.874927919
-17.31822067,-13.05501356,3.203713874
-17.30875741,-13.04788059,2.397625725
-17.20882666,-13.9773183,2.23122952
-17.12270297,-12.89591381,1.581290231
-17.06620579,-13.85752458,1.410839106
-17.39084537,-13.02485932,4.871427457
-17.53554896,-13.1346679,3.236448029
-17.27505194,-15.02933572,2.934085864
-17.32961414,-12.98041523,2.394987147
-17.13104673,-12.82001741,1.578421102
-17.0938843,-13.79319476,1.409622218
-17.36340273,-12.92134495,4.852612895
-17.344525,-13.93417615,4.755441956
-17.51147391,-13.03153523,4.051144641
-17.59322375,-13.09380154,3.239662867
-17.36217931,-12.92184752,2.393997472
-17.05383978,-14.73428166,2.056612924
-17.14708778,-12.75014334,1.576287613
-17.14234829,-13.74568102,1.410134579
-17.19675528,-12.76890558,0.01457945
-17.44140707,-12.89644086,4.863333145
-17.46667258,-13.94435121,4.777180009
-17.46361791,-12.91286386,4.030890027
-17.37719132,-12.85036509,3.192607621
-17.50010372,-15.0374745,2.956582326
-17.35618855,-12.83483446,2.387730877
-17.09227767,-12.62813943,1.567679987
-17.16726906,-13.67934168,1.408725644
-17.3012975,-12.77416791,0.799494577
-17.22941187,-12.71133691,0.014574004
-17.36394598,-12.74016181,6.582707316
-17.41629242,-12.78745666,5.700649203
-17.42112874,-12.79896298,4.846706312
-17.24343539,-14.74863847,4.619732013
-17.34309684,-12.74163538,3.994029564
-17.36232426,-12.75716084,3.182670336
-17.34902781,-12.74739118,2.381354134
