Number of Neighbor found: 17
x,y,z,c
3.120500566,0.062681733,0.461055378,-1,
3.132547756,0.053309876,0.462809007,-1,
3.135663992,0.043740498,0.463247399,-1,
3.124626229,0.071407284,0.430855715,-1,
3.101060042,0.061350465,0.427578204,-1,
3.102224266,0.051852811,0.427714759,-1,
3.127132327,0.042672999,0.431128825,-1,
3.107437007,0.032869335,0.428397562,-1,
3.110494894,0.023358014,0.428807253,-1,
3.149186314,0.013986628,0.434133198,-1,
3.124448584,0.004290983,0.430719132,-1,
3.106996585,0.060796582,0.398201901,-1,
3.112127229,0.051345981,0.398837376,-1,
3.123179922,0.041944387,0.400235492,-1,
3.143130604,0.032567947,0.40277748,-1,
3.123378602,0.022780124,0.400235492,-1,
3.127427145,0.003619596,0.40074389,-1,
